id,name,oao,address,avcr_note,avcr_date,mkcr_note,mkcr_date
342246,"České muzeum stříbra, Kutná Hora",Muzeum Kutná Hora,Barborská 28<br> 28401 Kutná Hora,"okres Kutná Hora, které je spravováno stavebními úřady Kutná Hora (s výjimkou obce Miskovice – tvořena katastrálním územím Miskovice, Mezholezy, Bylany, Přítoky, Hořany), Červené Janovice, Sázava, Uhlířské Janovice, Záboří n.Labem, Zbraslavice, Zruč n.Sázavou",7/27/1999,–,–
83232,Severočeské muzeum v Liberci,Muzeum Liberec,Masarykova 11<br> 46001 Liberec 1,okres Liberec a Jablonec n. Nisou,6/17/1999,12.901/89,10/31/1989
360635,Oblastní muzeum v Litoměřicích,Muzeum Litoměřice,Dlouhá 173<br> 41201  Litoměřice,okres Litoměřice,8/3/2007,čj. 10022/2006,11/21/2006
71191283,Regionální muzeum v Litomyšli,Muzeum Litomyšl,Jiráskova 9<br> 57001 Litomyšl,Pardubický kraj,11/13/2006,čj. 3483/2005,6/29/2005
360716,Oblastní muzeum v Lounech,Muzeum Louny,Pivovarská 28<br> 44001 Louny,okres Louny,12/11/2006,čj. 1189/94,–
368563,Muzeum a galerie severního Plzeňska,Muzeum Mariánská Týnice,Mariánská Týnice 1<br> 33141 Kralovice,okres Plzeň sever,"2.3.2018 (účinnost od 4.9.2018, na dobu určitou, do  27. 11. 2022)",MK 1151/2018 OPP,17. 1. 2018 (na pět let s platností od 27. 11.2017)
66567,Regionální muzeum Mělník,Muzeum Mělník,nám. Míru 54<br> 27501 Mělník,"kat.úz.: Borek nad Labem, Bosyně, Brozánky, Březinka u Kokořína, Bukol, Býkev, Byšice, Buškovice, Cítov, Čečelice, Daminěves, Dobřeň, Dolní Beřkovice, Dolní Zimoř, Dřínov, Dřísy, Dušníky nad Vltavou, Hleďsebe, Horní Počaply, Hořín, Hostín u Mělníka, Hostín u Vojkovic, Chlumín, Chodeč u Mělníka, Choroušky, Chramostek, Chrást u Tišic, Chudolazy, Chvatěruby, Janova Ves, Jelenice u Mělníka, Jenichov, Jenišovice  u Mělníka, Jestřábice u Kokořína, Ješovice, Jeviněves, Jiřice u Kostelce nad Labem, Kadlín, Kanina, Kly, Kokořín, Konětopy, Kopeč, Korycany, Kostelec nad Labem, Kozly u Tišic, Kozomín, Kralupy nad Vltavou, Křenek, Křivenice, Křivousy, Ledce u Stránky, Ledčice, Lešany u Nelahozevsi, Lhota u Dřís, Lhotka u Mělníka, Liběchov, Libiš, Liblice, Libkovice, Lobeč, Lobeč u Mšena, Lobeček, Lobkovice, Lužec nad Vltavou, Malý Újezd, Martinov, Medonosy, Mělnická Vrutice, Mělnické Vtelno, Mělník, Mikovice u Kralup nad Vltavou, Minice u Kralup nad Vltavou, Mlčechvosty, Mlékojedy u Neratovic, Mšeno, Nebužely, Nedomice, Nelahozeves, Neratovice, Netřeba, Nosálov, Nová Ves u Nelahozevsi, Nové Ouholice, Obříství, Olejno, Osinalice, Ostrý, Ovčáry u Dřís, Podhořany, Přívory, Radou, Rudeč, Řepín, Sedlec u Mšena, Šemanovice, Sitné, Skramouš, Skuhrov u Mělníka, Spomyšl, Stránka u Mšena, Strážnice u Mělníka, Střednice, Střemy, Střezivojice, Tajná, Tišice, Truskavna, Tuha, Tupadly, Újezdec u Mělníka, Úpor, Úžice u Kralup nad Vltavou, Vehlovice, Velký Borek, Velký Újezd u Chorušovic, Veltrusy, Vepřek, Vidim, Vliněves, Vojkovice u Kralup nad Vltavou, Vesňany, Vrbno u Mělníka, Všestudy u Veltrus, Všetatky, Vysoká Libeň, Vysoká u Mělníka, Záboří u Kel, Zahájí u Chorušic, Zálezlice, Záryby, Telčím, Zeměchy u Kralup nad Vltavou, Zlončice, Zlosyn, Želízy, Živonín",4/15/2003,čj. 317/94,1/18/1994
101427,Muzeum města Brna,Muzeum města Brna,Špilberk  1<br> 66224 Brno – Brno – střed,území města Brna,22.6.2001,nemá č.j.,5/30/1988
89613,Regionální muzeum v Mikulově,Muzeum Mikulov,Zámek 1<br> 69215 Mikulov,"okres Břeclav (přičemž v oboru archeologie paleolitu a doby římské ARÚ AV ČR, Brno)",18.5.2000,851/94,1/19/1994
374652,Milevské muzeum,Muzeum Milevsko,Klášter 563<br> 39901 Milevsko,"k.ú na okres Písek: Záhořany (Předbořice), Kostelec n.Vlt., Kovářov, Pechova Lhota, Kučeř, Zvíkovské Podhradí, Orlík n.Vlt., Sepekov, Přeštěnice, Milevsko, Přeborov, Zbelítov, Velká, Hrazany, Níkovice, Hrejkovice, Dmýštice, Ratiboř, Květov, Zhoř (Blehov), Jetětice, Branice, Zběšičky, Dražíč, Osek, Chyšky, Nosetín, Nadějkov, Petříkovice, Vlksice, Brtec, Božetice, Slabčice (Pís. Smoleč), Svatkovice, Borovany, Bernartice, Podolí I, Veselíčko, Zběšičky",12/6/2001,–,30.5.1988
